Model,Accuracy,Precision,Recall,F1-Score,AUC-ROC
CustomCNN,0.7349,0.6907,0.7128,0.7016,0.8103
TL_EFFICIENTNETB0,0.5721,1.0,0.0213,0.0417,0.6758
